発言者,発言内容,年月日,会議の名称
福祉保健部長,"では私から本日の資料1福祉施設の指定管理者の評価結果についてご報告申し上げます。
資料1をご覧ください。
これは指定管理者制度を導入しております福祉施設について、毎年度運営の状況を評価し、今後の施設運営に反映させることにより、サービスの向上を図ることを目的としております。
概要の1にあります通り、評価対象は18施設、13指定事業、指定管理者となりまして、その施設使用者一覧は別紙の通りとなっておりますので後ほどご確認ください。
2の表の方向については、まず、1次評価といたしまして、所管課評価を行っておりますこれは第三者評価や実績報告書等の確認をもって、評価を行い、使用で把握しきれない点につきましては、現地調査や施設へのヒアリングによって補完し、評価を行っております。
また財務評価といたしまして、公認会計士等が経営母体の財務状況を評価してございます。
次いで2次評価といたしましては、右の表に掲げております評価委員会が1次評価を行いました。
所管課から説明を聴取し、質疑を行った後、適正な田舎の評価をなお評価委員会の構成は、3にあります通り全部で9名で構成をしてございます。
恐れ入ります。
2枚おめくりいただきまして、右側のページをご覧ください。
別紙2となります。
この別紙2は評価項目、評価基準を一覧としたものでございます。
まずまず評価項目ですけれども評価の観点を三つに分類いたしまして、それぞれ右側の評価項目に沿って評価をしております。
分類1サービスの提供では5項目分類の2事業運営が9項目分類の3、利用者の満足では6項目で合計20の評価項目を設定してございます。
評価基準でございますけれども2の括弧1にあります通り、各評価項目ごとに5から1の5段階評価としてございます。
先ほど申し上げました通り、合計20の評価項目がありますので、最大100点の評価点となります。
このページの一番下、括弧2ですけれども、評価ランク、総合評価では、1ページの表の通り、評価点の合計得点に基づきまして、AプラスからCまでの四つのランクで表しております。
ただし表の下にご記載があります通り合計得点が90点以上これはプラスに相当しますけども、であっても、Aさんの評価があった場合には、C人以下の評価があった場合については評価ランクをCとしてございます。
次のページ以降の別紙3につきましては、18R各施設の評価表となっておりますのでここでの説明は省略いたします後ほどください。
資料の2ページにお戻りください。
4には、全ての施設の評価結果を一覧で示しておりまして、表の一番右側にあります通り、いずれも適正との評価となってございます。
評価結果の公表活用についてですけれども、評価結果については、区ホームページで公開するとともに、各施設に通知いたしまして、今後の運営に反映するよう求めてまいります。
私からの説明は以上でございます。
子供施策私からは資料2から資料4までご説明申し上げます。
着座にて失礼いたします。
初めに資料に私立認可保育所における不適切保育事案に係る報告書について多くあった。
最後本年6月に発生した私立認可保育所における虐待事案につきまして、これまでの区の対応状況と主な再発防止策を取りまとめましたので、1の事案の概要をご覧ください。
経過でございますが、ほっぺるランド佃の園長から保育士による不適切な保育が行われた旨の通報があったことから、そういたしましては事案の報告を求めつつ、園より提出されたカメラの映像により、不適切な保育の時事実を確認したところでございます。
映像確認していく中でその他の不適切な保育が判明したことから、ヒアリングを行う中で虐待行為を比較2の虐待が行われた背景加害の保育士へのヒアリングや警察の事情聴取から、本人の行動特性や体調不良などにより、虐待行為に及んでおりまして、個人的な要素が大きい状況でございました。
しかしながらこの時期は当該園において退職や休職が相次いでおり、園全体に良い業務的な余裕が不足していたことや、特におきましても、改善事項があったものと認識してございます。
それおきまして3の主な再発防止策でございますけれど、両括弧1では、職員間の連携強化や複数の身が関与する保育運営保育室のレイアウト改善、保育記録カメラ活用を推進また両括弧2では延長事業者による職員や亜鉛状況の把握保育士が働きやすい環境作りまた三塁打しましては区の巡回指導の見直し、相談通報窓口の明確化保育記録カメラの設置支援検討などを取りまとめたものでございます。
包括し報告書の総括でございますが、2ページおめくりいただきまして、別紙4の最下段をご覧ください。
今回の事案を個人の問題としてのみ捉えるのではなく、園全体の運営体制や支援のあり方を改めて見直す契機とすることが重要である。
僕は得られた教訓を各園に共有し保育の質安全性をより一層高めるとともに、職員同士が支え合い、安心して働ける環境作りを進めていく。
今後も応援事業者等が一体となって再発防止と信頼回復に努め、全ての子供たちが安心して過ごせる保育環境の構築に便利資料に関する説明は以上でございます。
次に資料3家庭的保育事業における利用乳幼児の健康診断の省略についてでございます。
児童福祉施設の設備および運営に関する基準等の一部を改正する内閣府令の施行に伴い、一定の場合には家庭的保育事業者における利用乳幼児の健康診断を省略できる旨の規定整備を行うものでございます。
2の改正を要する条例は、家庭的保育事業の設備および運営の基準に関する条例で、施行予定日は公布の日でございます。
次に資料4、基準府令の一部改正に伴い、関連条例の規定整備についてでございます。
内容でございますが児童福祉法の一部を改正する法律による。
児童福祉法等の一部改正に伴い児童福祉法等の一部を改正する法律の施行に伴うこども家庭庁関係内閣府令の整備等に関する内閣府令が令和7年10月1日から施行され、引用する情報の洪水が生じますので条例の規定整備を行うものでございます。
改正する条例は記載の通りで施行予定日は公布日でございます。
私からの説明は以上でございます。
保健所長資料の5、個人番号を利用する事務の追加および当該事務で利用する特定個人情報の設定についてご報告申し上げます。
内容1の内容です。
東京都事務処理特例に関する条例に基づき、区では、待機要請に係る健康障害者に対する医療費助成の申請受理の事務等を行っております。
令和8年10月から本事業について個人番号を利用した受付をということで、申請に係る書類の提出の省略を可能といたします。
個人番号利用事務に追加する事務といたしましては、大気汚染に係る健康障害者に対する医療費の助成に関する事務を追加する特定個人情報は、国民健康保険給付関係情報であっていく。
規則で定めるものです。
2改正に要する条例ですが、中央区行政手続きにおける特定個人を識別するための番号の利用等に関する法律に基づく。
個人番号の利用および特定個人情報の提供に関する条例です。
こういう整備は公布の日といたします。
説明は以上でございます。
ありがとうございました。
では発言の時間制についてでございます。
発言の持ち時間制につきましては、既にご承知の通りです。
なので、よろしくお願いいた。
ただいまの時刻は午後1時40分、自由民主党さん86立憲民主党無所属下の42分、公明党42分都民ファースト310分、参政党30分となります。
なお、持ち時間には、この後の議題である請願審査の時間も含まれます。
それでは、理事者報告に対する質疑に入ります。
発言をお願いします",2025/11/10,福祉保健
高橋委員,"はい私からは資料1、資料2について質問させていただきます。
福祉施設の指定管理者の評価結果についてから質問させていただきます。
こちらは毎年指定管理者の評価評価は行っていただいてるわけではございますが、何か評価の方法あるいは基準で昨年度から変わった部分があるのかという点について教えていただければと思います。
またこれも以前お伺いをしているかとは思いますがやはり各項目ごとに統一された基準というのはないというふうには認識をしていますつまりは各園ごとに評価をしていると認識をしております。
その上で評価項目および評価基準、そして得点配分というものが適正であるのか。
つまりはこれは例えば東京都あるいは国が何らかの基準を用いているのではないかとは思っていますがその点についても改めて確認をさせていただければと思います。",2025/11/10,福祉保健
院長福祉保健部参事福祉保健部参事,"はい指定管理者の評価についてでございます。
今回変わったことといいますと資料別紙2のところの評価項目評価基準の22の評価基準の昨年度からの変更点というところで、基本、昨年度、5の水準を保たれている。
いるものの3年間その変化にに内容に変化がない項目は特定を原則4とするといったところを、にしたところでございますその点については変更はないんですがただし書きのところ、ただしのところなんですが2事業所運営⑥適切な収支を除くというところを、その分3年間その内容に変化がなかったとしても適切な種適切な処置を行ってるっていうところに関しては、このままという最高であれば5のままといったところで、その部分だけ変更しております。
また項目評価項目等適正かどうかというところは基本あげく全庁的に評価のところの指定表、指定管理者の評価のマニュアル等ございますのでそちらに沿って行っているものでございます。
こちらについては毎年こういった形でその評価の仕方等が適正かどうかも確認しながら行っているところでございます。
以上でございます。",2025/11/10,福祉保健
高橋委員,"はい。
ありがとうございます。
昨年度からの変更点につきましては、英語の水準は保たれているものの3年間、その内容に変化がない項目について特典を原則4とするという部分で変更があるというふうには理解をして理解をいたしました。
この評価基準については、評価項目については、基本的には区が独自で定めているというふうにも理解をいたします。
その上でですね、この評価評価報告書についてですね。
やはりこのもう評価の書き方というものがちょっとわかりにくい部分もあるかなと思っておりましてというのもですね、やはり様々な項目について評価がなされていますが、最終的にどこに課題があったのか、指摘事項というものをまとめた方がわかりやすいのかなと思っていますそれが一番最後の評価委員会結果、適正不適の中で指摘することなのかなとは思いますが例えばこの各項目を全てまとめた上でどこに指摘事項がありその指摘事項が改善されたかどうかというのをやはり翌年度またそこを更新をして、この指摘事項については全て改善がされたというところを明確に書いた方がわかりやすいのではないかとも思います。
こういったPDCAサイクルがどのように回っているのかも含めてわかりやすい書き方というところも考えていただければと思いますがその点についての区のご見解をお願いをいたします。",2025/11/10,福祉保健
院長福祉保健部参事福祉保健部参事,"はい。
まずすいません。
宣言変更点のところの私のちょっと言い方が悪かったんですが、英語の数字に富む。
されているものを3年間その内容に変更がなかったとき4とするのは昨年度の評価から始まっているものでございます。
その後の匡の事業運営、適切な収支を除くといったところが今回ちょっと書いたというところ説明が不足で大変申し訳ございませんでした。
またその回線の今後のその表見せ方といいますかね評価表の見せ方につきましては、こちらも我々の方も毎年いろいろどうしようかと考えながらやっているところではございますが、やはり最後のところで委員会の評価というところに、について載せているところでございます。
そういったところをその中で指摘があったようなところにつきましては今後きちんとそれを反映させさせて、こういった項目をしているところでございますがもうちょっと記載についてはわかりやすく、いきたいと思っております以上でございます",2025/11/10,福祉保健
高橋委員,"はいそれぞれありがとうございます昨年度からの変更点につきましては補足ありがとうございます承知をいたしました。
また今後もどのようにこれもやはり区のホームページに載せれるものであると思いますので、できればこのまま認めてわかった方がいいんですけれどもどういう指摘事項がこの園についてはどういう指摘があったのかっていうのを一覧というかぱっと見でわかるといいなと思いましたのでご検討いただければと思います。
またその上で、各応援の評価を見た限りだと、やはり今回C項目となっているのがC評価となっている1次評価が33施設でございます。
こちらもそれぞれ見てみると、八丁堀保育園につきましては園児の見失い事故が発生をして、この改善の再発防止策は実施されているが、そういった重大性を鑑みてC評価となっている2の評価がされている。
安全対策になっているかと思います。
また晴美こども園紗英および春道どうかについてはサイバー攻撃があった個人情報の漏えいの可能性があったという形で認識をしております。
それぞれちょっとですね私も特に財布攻撃の部分につきましては初耳でございましたので、一旦このもうC項目に上がった3施設について、どういった内容の事象があり、そして再発防止策につきましては、もう現時点で既に完了しているのか。
要はその体制については改善がもうなされたと評価をしているのかという点について改めて教えていただければと思います。
委員長",2025/11/10,福祉保健
子供子育て支援課長,,2025/11/10,福祉保健
子供子育て支援課長,"はい。
私からまず八丁掘掘り保育園の事故についてご説明さしていただきます。
この経緯としましては、演劇活動として、午前中散歩に出たところなんですけども、その際近隣の公園の方で行って遊んでたというような状況でございましてその公園でですね、たまたま他の次も言いましてかなり混雑してるような状況もありましたので、そのときに普段の集合場所とは違うと違う場所をですね、集合場所案内した子たちに伝えたところなんですけどもそれが遊び終わってその集合するときにですね、1人のその園児がですね、その連れて行くところをちょっとまだ遊びたかったのかちょっと濃すぎる。
そこを突き抜けてって、あの1人でまた違う場所に行ってしまった。
そのときにちょっと気がつかなかったっていう状況がありまして。
それでその後ですねそれにつきましてはそのままちょっと公園の外がちょっと出たとこなんですけども、そこに出たところで、先に園に戻るとしましたスタッフがそこで見つけたっていうところで、あのタイムラグとしては1分少々の時間ちょっとスタッフが見失ったというようなものでございます。
ただ1分とですねやっぱりエンジンを見失うっていうところがですね、やはりあってはならない。
その見失いがですね、重大事故に繋がる恐れといいますかそういった可能性を波乱でおりますので、そういったところで今回ですね、厳しくといいますかその重大性を鑑みまして、今までのその5点といったところから、3点限定して2点というような評価をさしていただいたところでございます。
ただその事故あった後もですね、前におきましては区への報告ですとか、保護者への対応そういったところを速やかに行いまして、対応策としましては、実際にそういった見失った場合にですね、各大項目ごとに設けた時間軸の中でどういう対応をすればいいのか、そういったことを一つポイントを捉えて、行くようなそういった店のときのフローチャートを作ってそれをのですねスタッフにですね、全て情報共有をして、それ以後はですね、適正に対応を適切にですね、対応しているというような状況でございます。
もう一点でございますけれども、仮にこども園できたサイバー攻撃でございますが、こちらサイバー攻撃につきましては、こちらの法人本部の方で、そのサイバー攻撃を受けたというような状況でございます。
実際その落ちた中で、個人情報がですね、調べていく中では閲覧された可能性がある。
今日されたとかっていうことではなく、閲覧された可能性があるというような状況がわかりましたので、そういった中で法人本部の方でそのシステムをですね、改めて見直しまして、改善を図ったというところでございます。
その後ですね特に何かサイバー攻撃になって何か重大な事故が起こったっていうことはありませんけれどもそういった個人情報の漏洩する可能性があったというところで、そういった重大性を鑑みてこちらの方もですね、あの5点から3点、2点と3点減点させていただいたというようなものでございます現在は改めてシステムを構築し直しまして、しかなり強硬なシステムに改善したという報告を受けているところでございます。
以上でございます",2025/11/10,福祉保健
高橋委員,"はい。
それぞれありがとうございます。
まず園児の見失い事項につきましては様々な対応としてフローチャートを作って情報共有をしたとそれ以後にもついても適切に対応するというふうに理解をいたしました。
またサイバー攻撃につきましてもこれも仕方ないというか法人本部のに対するコーヒーですので、その法人側で対応しているというものに認識をいたしました。
またちょっとこの一点ですね、資料に次の質問にも若干繋がってくるんですけれども、今回例えば八丁堀保育園でそういった園児を有しないようしてしまった場合のフローチャートというものを作成したというふうに理解をいたしました。
そういった例えば良い事例例えばツールも含めて、これはもちろん法人ごとに対応が違ってくるのかもわかりませんが、やはりあのこういった見失い事故はどの園でも発生する可能性はあるということで、やはりあの積極的な横展開はするべきではないかなと思っております。
例えばもちろんこの応援が園側が作ったものですのでそのまま渡すというのがそれもエリア法人の判断になるかと思いますが、そういった各園に対してこういう事例が発生しました。
例えば園長会とかでもそうですけれども、なので気をつけてください。
あるいはこういうフローチャートを作りましたので参考にしてくださいといった横展開がされているのかという点について確認させてください。
委員長",2025/11/10,福祉保健
子供子育て支援課長,,2025/11/10,福祉保健
