発言者,発言内容,年月日,会議の名称
警備課長および総務部副参事,"、生活安全特命担当が出席しますので、ご了承願います。
過日の行政視察の実施に当たりましては、所期の目的を十分果たすことができたと思いますので、今後の施策の参考になればと考えています。
なお内容につきましては、第4回定例会での委員長報告で報告させていただきたいと存じます。
それでは、理事者報告をお願いいたします。",2025/11/06,企画総務
企画部長,"私からは資料1についてご説明をいたします失礼いたします資料1仮称入船トンネルの利活用についてでございます。
1の趣旨ですが令和5年12月に幹線街路補助線街路153号線の立体交差計画が廃止されたことから、立体交差として築造された仮称入船トンネルについて東京都と調整の上、利活用の具体的な内容に関する検討を進めるものでございます。
2の活用方針としましては、築地川公園多目的広場の利活用状況を踏まえ、子供の遊び場やスポーツ活動の場として活用する方向で検討を行います。
3のスケジュールですが、令和8年度に基本設計、詳細設計に着手令和9年度以降に工事に着手をいたします。
資料1については以上でございます。
次に、資料2、任期付職員、シティプロモーション推進課長の任用についてでございます。
1、趣旨です。
本区では区民や在勤在学者の地域への誇りや愛着心の醸成および国内からの来街者の獲得に向けて、令和6年1月にシティプロモーションの三つの方向性について整理をしております。
こちらに沿いまして、現在、令和8年度の区制施行80周年に向けて、区の魅力等を発信する各種取り組みを進めているところでございます。
引き続きこれらの取り組みを全庁挙げて着実に推進するとともに、中長期的な視点を踏まえたシティプロモーションの更なる強化に当たっては、専門的な知見から責任を持って迅速に判断をし、実施する職員が必要不可欠であることから、当該分野に専門知識および豊富な経験を有する者を職員として採用し、シティプロモーション推進体制の強化を図るものでございます。
に採用する職層および人数は副参事を1人Aさんの任期につきましては、令和8年4月から13年3月31日までの5年間4主な職務内容としましては、括弧1のシティプロモーション事業の総合調整推進に関することの他、括弧4までの記載の内容となります。
5の選考方法は、公募の上、書類選考および口述試験を実施して決定をいたします。
6、選考日程等ですが、申込期間は令和7年11月中旬から12月中旬まで令和8年の1月中旬に第1次選考を行い、合格発表を経て、2月上旬に第2次選考、2月の中旬には合格者を決定発表いたします。
資料2並びに私からの説明は以上となります。
委員長。",2025/11/06,企画総務
総務部長総務部長,"はい。
私からは資料3から6までについてご説明いたします。
失礼いたします。
まず、資料3、令和7年第4回区議会定例会提出予定議案をご覧ください。
次期定例会に提出を予定しておりますのは、予算が1件、次いで条例が9件契約が次ページにわたって2件その他が3件、そして報告が1件、さらに追加が予定される議案といたしまして、条例1件、中央区職員の給与に関する条例等の一部を改正する条例並びに人事が2件、副区長の選任同意についておよび教育委員会委員の任命同意についてとなっております。
それでは各議案の概要をご説明申し上げます。
初めに3ページ、令和7年度本区一般会計補正予算でございます。
まず、総括表上段の歳入です。
第18款繰入金は、財政調整基金からの繰入金の減額です。
第19款繰越金は、前年度からの繰越金の計上です。
次に、下段の歳出です。
第6款環境土木費は、日本橋船着場の移転整備の計上の他、築地川公園多目的広場の改修の減額です。
歳入歳出ともに8205万6000円を減額するものであり、補正後の予算額は1636億7695万8000円となります。
この他、次ページ、繰越明許費は5件の追加、債務負担行為は3件を追加いたします。
補正予算については以上となりまして、次のページ、条例案件でございます。
まず、行政手続きにおける特定の個人を識別するための番号の利用等に関する法律に基づく。
個人番号の利用および特定個人情報の提供に関する条例の一部を改正する条例は、個人番号を利用することができる事務について、表に掲げる通り追加するもので、公布の日から施行いたします。
次に、職員の給与に関する条例の一部を改正する条例につきましては、後ほど別資料でご説明いたしますので、次のページ事務手数料条例の一部を改正する条例でございますが、関係法令の一部改正により、1については、引用する関係法律の題名が改められたことに伴い、規定を整備するもので、令和8年4月1日からについては、次のページ、引用する条項にずれが生じたことに伴い、規定を整備するもので、公布の日から施行いたします。
次に、印鑑条例の一部を改正する条例でございますが、1については、関係法律の一部改正等に伴い、印鑑として登録できる事項に住民基本台帳に記載されている振り仮名を追加するとともに、登録された運営に係る印鑑登録原票の調整方法磁気リスクに変更するものについては、印鑑登録書を防止した場合の印鑑登録廃止手続きにおける印鑑登録証の添付を省略するとともに、登録申請時の本人確認に係る保証人要件の緩和等をするもので、いずれの改正も、公布の日から施行いたします。
次に、特定教育保育施設および特定地域型保育事業の運営の基準等に関する条例等の一部を改正する条例は、児童福祉法等の一部を改正する法律の施行に伴うこども家庭庁関係内閣府令の整備等に関する内閣府令の施行により、引用する関係法律の条項にずれが生じたことに伴い、2に掲げる4条例の規定を整備するもので、公布の日から施行いたします。
次のページ、家庭的保育事業等の設備および運営の基準に関する条例の一部を改正する条例は、関係する内閣府令の一部改正に伴い、乳幼児に対し、母子保健法に基づく健康診査が行われた場合であって、その審査が利用開始時の健康診断等に相当すると認められるときは、利用開始時の健康診断等を省略できるようにするもので、公布の日から施行いたします。
次に、自転車の放置防止に関する条例の一部を改正する条例は、新たに定期利用のみの駐輪場として、八重洲1丁目地下駐輪場を設置するとともに、現に放置禁止区域内に自転車が放置されていることをもって撤去できることを明確化するもので、公布の日から施行いたしますが、駐輪場の新設は区規則で定める日から施行いたします。
次に、公衆便所条例の一部を改正する条例が日本橋1丁目東地区第一種市街地再開発事業の施行に伴い、開運橋際公衆便所を廃止するもので、区規則で定める日から施行いたします。
次に、幼稚園教育職員の給与に関する条例の一部を改正する条例につきましては、後ほど別資料の説明で触れさせていただきます。
条例案件は以上でございまして、続いて次のページ、契約案件でございます。
中央区役所本庁舎照明設備改修工事請負契約および特別養護老人ホームマイホーム晴海等複合施設照明設備改修工事請負契約につきましては、制限付き一般競争入札を行った結果、それぞれ記載いたしました通り、契約金額および契約の相手方を決定し、仮契約を締結いたしました。
これら新規に締結する契約の詳細につきましては、別添で資料をお付けしておりますので、後ほどご参照いただければと存じます。
続いて、その他の案件につきましては、次のページ、指定管理者の指定については3件となります。
まず、区立中央会館につきましては、指定期間満了に伴うもので、記載の通り、団体は引き続き、松屋グループオーエス共同体で変更なく、来年4月1日から5年間の指定の期間となります。
次に、区立総合スポーツセンター、浜町運動場および月島スポーツプラザにつきましては、指定期間満了に伴うものでございますが、スポーツ総合スポーツセンターにおける大規模改修等の事情に鑑み、次のページ記載の通り、中央区スポーツ未来創造パートナーズを引き続き特命で指定し、いわゆる随意契約となりますが、指定の期間を来年4月1日からの2年間とするものであります。
次に、区立月島運動場につきましては、指定期間満了に伴うもので、次のページに記載の通り、団体は引き続きタフカ株式会社で変更なく、来年4月1日から5年間の指定の期間となります。
これら指定管理者の選定経過につきましては、別に資料をお付けしておりますので、後ほどご参照ください。
最後に、報告が1件、和解に関する専決処分の報告についてにつきましては、次のページ、4の事件の概要をご覧ください。
令和5年9月20日、和解の相手方の所有する車両が本区の管理する街路樹に接触し、当該車両と街路樹が損傷したことに関し、相手方より損害賠償請求の訴えが提起されましたが、その損害賠償について和解したもので、前のページにお戻りいただきに、和解の内容に記載の通り物的損害についてお互い賠償請求しないこと(2本和解によるものの他、総務になんら債権債務がないこと次のページの3、括弧3、相手方は、訴えを取り下げることなどとするものでございます。
資料3の説明は以上でございまして、続いて資料4通勤手当支給限度額の引き上げ等についてでございます。
本件は、1趣旨に記載の通り、人材確保が喫緊の課題である点や、働きやすい職場環境の整備が求められていることから、新幹線停車駅が近隣にある本区の地域特性を踏まえ、職員に支給する通勤手当の支給限度額を引き上げるとともに、新幹線等の利用に係る通勤手当の支給要件を緩和するものです。
2、主な改正内容ですが、月額の支給限度額につきましては、新幹線等特別料金も含め、月額15万円に引き上げるとともに、新幹線等通勤の支給要件として、現行の勤務地の変更を伴う異動に加えて、採用前の住居から通勤する新規採用職員、区規則で定める事項として、育児等やむを得ない事情による転居などを新たに要件とするものです。
3に記載の職員の給与に関する条例の一部改正を行い、令和8年4月1日に施行するものです。
なお、幼稚園教育職員についても同様の内容で、区立幼稚園教育職員のくし給与に関する条例の一部改正を行うこととしております。
次に、資料5令和7年、特別区人事委員会と韓国概要についてございます。
1内容ですが、本年の勧告のポイントといたしましては、まず、公民較差いわゆるベースアップ分は1万4860円率にして3.80%であり、これを解消するため、給料表について、若年層に重点を置きつつ、全ての級および5級で引き上げを行うこととしております。
なお、公民較差算出における官民給与の比較方法につきまして、本勧告より比較対象企業規模50人以上から100人以上に見直しを行っております。
また、特別給、期末勤勉手当につきましては、民間における支給状況を勘案し、年間の支給月数を0.05月日分引き上げ4.90月とした上で、引き上げ分は期末手当、勤勉手当に均等に配分するものとしております。
これらの改定により、23区職員の平均平均年間給与は約27万6000円の増となります。
この他、職責職務をより重視した給料体系の実現のため、管理職の給料月額を見直す旨の勧告がなされました。
なお、今回の勧告を踏まえた給与改定の取り扱いにつきましては、今後の労使交渉を経て成案がまとまり次第、条例改正案を提出させていただくこととなります。
以下に、国および東京都の比較および別紙におきまして、特別区、東京都、国それぞれの勧告内容を比較整理しておりますので、詳細は後ほどご参照いただければと存じます。
次に、資料6、中央区、カスタマーハラスメント防止基本方針の策定についてでございます。
本件は、本区職員等が安心して働くことができる環境を確保し、良質な区民サービスを提供するため、1内容に記載の通り、国の法改正や東京都におけるカスタマーハラスメント防止条例の制定を踏まえ、中央区カスタマーハラスメント防止基本方針を策定するものです。
2の実態調査ですが、基本方針策定に当たって、現状を把握するため、会計年度任用職員を含む区職員にアンケート調査を実施するとともに、窓口職場等を抱える24部署18の委託事業者等にヒアリング調査を行いまして、括弧3、調査結果の概要の通り、①約24%の職員がカスハラを経験し、②区民による対面対応や電話応対において、威圧的必要な言動や精神的な攻撃が多く、③事務や福祉職30歳代の若手層が受ける割合が多いという現状が明らかになりました。
なお、このアンケートにつきましては、受け手側がこのように捉えたということでございますので、カスハラとして事実確認等がなされてないということにつきましては申し上げさせていただきます。
こうした結果を踏まえまして、3基本方針ですが、区として統一的かつ組織として毅然と笠原に対応することを目的に、基本方針を策定したところです。
その内容として、次のページ、括弧2、カスハラとは、区民等から職員等に対し、その業務に関して行われる著しい迷惑行為であり、職員の就業環境を害するものと定義付けた上で、括弧4樫原への対応として、①笠原が疑われる場合には、組織として事実確認を行い、②樫原に該当すると判断した場合は、職員の安全確保と安定した区民サービスの提供のため、台中市庁舎退去命令、警察への通報、法的措置など、厳正に対処することとし、また、括弧5、カスハラへの対策として、①応対内容の記録の保存保管、②職員、区民等への周知、③研修や相談体制の整備④関係機関との連携⑤対応の標準化、共有化について定めたところです。
なお、別紙1ではアンケート調査結果報告書の抜粋を、別紙2では基本方針案をお付けしておりますので、後ほどご確認いただければと存じます。
今後の予定ですが、明日プレスリリースを行うとともに、今月の10日にホームページ等で周知し、運用を開始いたします。
私からの説明は以上でございます。
委員長。",2025/11/06,企画総務
防災危機管理室長,,2025/11/06,企画総務
防災危機管理室長,"、はい。
私からは資料7中央安全安心メールによる防犯情報の配信状況等についてをご説明いたします。
失礼いたします。
防犯、地震や気象に関する情報を区民等へ配信しております。
中央安全安心メールの登録者数や配信状況等を報告するものでございます。
まず1の登録者数でございます。
令和6年度末における登録者数は7000人となっており、前年度末に比べて555人の増となっております。
情報種別登録者数につきましては、最も多くの方が登録しているのが、地震情報で81.0%次いで防犯情報が76.8%気象警報注意報が69.5%、以下、表に記載しております順となっております。
また、多言語登録者数につきましては61人で、言語別の登録者の内訳は記載の通りでございます。
次に、2の防犯情報の配信状況でございます。
令和6年度の配信件数は117件で、前年度と比較すると21件の減となっており、振り込め詐欺の減が主な要因でございます。
配信内容は、還付金詐欺などの振り込み下げが詐欺が62件で最も多く、次いで不審者情報の25件となっております。
今後とも、区民の安全安心に向けて積極的な配信に努めてまいります。
説明は以上でございます。
発言の時間制についてで発言の持ち時間制につきましては、既にご承知の通りですのでよろしくお願いいたしますただいまの時刻は午後1時49分です。
自由民主党さん41分かがやき中央さん27分立憲民主党無所属27分公明党さん27区民クラブさん27日本共産党さん27分となります。
なお、持ち時間がお持ち時間にはこの後の議題である請願審査の時間も含まれます。
それでは、理事者報告に対する質疑に入ります。
発言を願います。
委員長。",2025/11/06,企画総務
竹内委員,"はい。
それでは私は資料の8ですね126について順次質問をしていきたいと思います。
まず資料1、入船トンネルの利活用についてということでございます。
かなり広いスペースでの新たな場所の活用ということになります。
我が会派今年度です今年の一般質問、一定の一般質問の中で入船橋昨日カルバーとという部分で活用を検討していただきたいというような質問もさせていただき、スポーツの環境の整備というような観点も持って、いろいろ取り組みを行っていただいたという経緯もございます。
今回そのときとまた状況が違う中で、かなり広い範囲でのスペースが確保された。
また、トンネルということで、雨にも濡れずに天候に関わらず活用ができるというような部分が期待をされるところでございますが、まだ基本設計等もちろん令和8年度からですがどのような活用の可能性というものがあるのか。
少しご見解をお聞かせいただきたいと思います。
そして、資料2のシティプロモーション推進課長の任用についてということで、ご報告をいただいております。
我々久世80周年に向けて、今地域での様々な活動が行われている。
また、シティプロモーション、歴史アーカイブなどをこの1年間通しても区でも様々な取り組みを行っていただいていると思います。
こうした中で5年の任期を設けて、中長期的な視点を踏まえた更なる強化ということで、職員の任用について、先行募集選考を行っていくということでございますが、ここに期待をするもの、今後の80周来年の80周年にとどまらず更なる強化をしていくということでございますが、もう少しこの詳細についてお聞かせをいただけたらと思います。
委員長　企画部参事企画部はい。
私からの入船パネルについてでございます。
こちらの方のトンネルでございますが、現在ですね東京都の方が道路ということで閉鎖管理をしているところでございます。
今回の活用に至った経緯でございますがこの度ですね日本首都高の日本橋の地下化の事業化に伴いまして、新たな都心の環状ルートとして、新京橋連結道路を整備することに伴いまして現在の新富町の出口がこの度、入口がされるということになりました。
ここのですね入口化に合わせまして入りCNFの入船橋付近に計画されておりました。
この補助第153号線の立体交差計画の要否をですね、東京都の方で検討した結果ですね、平面交差点等で交通処理が可能となったためこの度立体交差計画を廃止したという状況になってございます。
そうした中でですね、東京都第1建設事務所の方ですが区の方に打診があった際はまずトンネルを埋めるというようなお話がされてたところですんでただそうした中でですね、区としてやはり都心部を限られた、非常に貴重な場所っていうとこもございまして、区の方からの活用の打診をした中で、この間ですね東京都と交渉を続けてきたところでございます。
そうした中でですねこの度東京の方から区の方の活用の合意が図られましてそうした中で今回のご案内に至ったところでございます。
相談した中ですね今伊能からもご案内ございましたけど、やはりトンネルということで非常に天候にも左右されないっていう非常に貴重な場所っていうのと、あと周辺がですね今現在築地川の多目的広場に隣接してるっていうところで、この辺の一帯のですね、場所について、やはり今ご提案ありましたようなそのスポーツの活動ができるような場所ですとか、あとやはり子供たちが広々とした場所でですね、走り回れるような親子が集まってですね、そういった意味で明るく開放的なコミュニティスペースとなるような方向性をですね、考えながら、現在利活用について庁内関係部署集まってですね、どういったしつらえができるか等々含めて、委員長調整をしているところでございます。
また、の詳細等が決定した段階ですねまた議会さん以外の方にも報告させていただければと思っております以上でございます。
シティプロモーション推進課長JPプロモーション推進はい私からは任期付職員の任用についてお答えをさせていただきます。
現在シティプロモーションにつきましては三つの方向性ということで区の歴史わかる発信地域まちの魅力発掘発信店職員のご力向上というような方向性に沿った形でですね事業展開の方をさせていただいてるといったところでございます。
令和8年度はMAX80周年Notta年度に当たるというところもございますので着実にですねそういったところを執行していくということに合わせましてこの80周年以降のあの令和9年度以降シティプロモーションをどういうふうに進めていくのかというところを検討していくというような年に当たってくるといったところでございますそうした検討を行うに当たってやはりWebの専門的な知識そういった知見をですね、あの活用して今後のシティプロモーションどういう方向で進めていくのかというところをしっかりと検討していければということで考えてございます。
また、5年の任期というところでございますけれどもこうした専門的知見を有する方来ていただいてですね、しっかりと職員の育成の方もですね、していただきながらですね、全庁挙げたシティプロモーションの推進というところに取り組んでいければというふうに考えて設定したものでございます。
以上でございます。",2025/11/06,企画総務
竹内委員,"はい。
それぞれご答弁ありがとうございます。
まず、入船橋トンネルの利活用について詳細の経緯をお伺いをしてありがとうございました。
本当に中央区の子供さんも増えていく人口が増加していく中でこうした。
範囲のスペースでまた天候に左右されないというところで、思い切り体を動かせるような場所いろいろ子供たちが自転車をどこで練習するんだなっていうのも今まであったかと思いますまた地域では思いっ切りボールが蹴ったり野球ですかねそういうの今もそういう競技ができるような場所ではありますけれども、やはり天候に左右されてね、できなくなるという心配がないという中では、こうしたスペース今、ご答弁の中でも明るく開放的なというご答弁もありましたが、そうした皆さんが聞こえる場所作りというものにしっかりと御検討いただきたいと思います。
そして少しトンネルということで、やはりあの車が通る場所であった。
今蓋がされていて、中がどういう状況か私達は一般的には見ることができないんですけれども安全面の対策という部分も長く使用されていなかったということでどういうものがあの設備がついているのか。
やはりトンネルで、おそらく奥の方に行くと暗い空間であろうと思いますので、そういった部分でもしっかりと安全対策、明るさの確保も行っていただけたらと思います。
そして少し分野は違うんですけれども、いろんなところで、例えば障害を持った方がモザイクアートをするような壁を作ってたりしますので、そういった地域の子供たちの、なんでしょうね子供たちとか障害者のモザイク壁画とかそういったような視点も入れていただけたらなという思いがございます。
まだまだこれからの基本設計ということでございますが、そんな視点も含めて、ご検討いただけたらと思います。
そして、シティプロモーションの方ありがとうございます。
まだこれから来年区政80周年を迎えるということで今まで地域で集めてきた歴史的な発掘事業そういったものも含めて、今後の中国の魅力の発信というところに期待を寄せていくものでございます。
5年の任期の中で、やはり現状よりもさらに良いプロモーション、魅力を発信していくというところで、外部の方からのアイディアというものもふんだんに使っていただきたい。
というところでございます。
ええ。
これはまた、さらに今後に期待して今、広報の方でもいろいろ人材を教育して、発信力というものを強化していただいてると思いますので、更なる発信力の強化、またうちの方でも会派の中で、やはりなんでしょう町の魅力今、今までもある魅力でありますけれども、そういったところをよく地方に視察に行きますと本当に撮影のスポットですとか、なんでしょうね話題になった場所っていうところをうまく活用しているようなところもありますので、新たな人材によって少し他の部署も良いアイディアが生まれてくるような中国の魅力を発掘できる活動に繋がるとありがたいなと思っています。
はい。
にもここまでで次の質問に移ります。
カスタマーハラスメントというところですね資料6でございます。
いろいろ報告を見てますと、区の職員の窓口対応、電話も含めて、様々な方がいらっしゃる中で、日々質問質問じゃないですねご相談を受ける。
プラスアルファの要望と、苦情とというような、この境目のところで、皆さんがご苦労していただいて、皆さんの意見を抽出していただいてるんだなと思っていますそうした中で先ほど報告の中でもありましたこれがアンケート結果が必ずしもあった事実とイコールではないまだちゃんと事実の調査を今後していかなければならないというようなそんなご答弁もあったかと思いますやはり、よく子供たちの学校のいじめのアンケートとかでもそうなんですけれども、受けた側と加害者と言われる側になってる方の認識の差というのがすごくあると思っております。
そういった部分は少しでも確認をしていく必要があるかなと思っていますすいませんまず最初にお伺いしたいのが、この実態調査のところで、アンケートアンケート調査というのとヒアリング調査という二つの観点から今回調査をしたとありますが、ここの分けた部分どういう違いがあったのかという部分でお聞かせいただけたらと思います。
委員長。",2025/11/06,企画総務
総務課長課長,"はい。
こちらアンケート調査とヒアリング調査、こちらの方の間違いということでございますけれどもまずアンケート調査は、本当にパソコンでやったんですけどもそこの職員が入力をして、パソコンでやれない職員についてはもう紙でということでそこに項目について質問項目について答えていただくと、それはもう区職員プラスですね、区宿谷ももれなく、それからの会計年度任用職員ですとか、そういったところも含めてもう全職員に対して2479名に対象にその半分ぐらいが、あの答えていただきましたけれども、そうした形で答えていただいたという。
それに基づいてですね、そこ、それがですね委員長笠原が受けたことがあるかですとか、誰からどのようなエース背景ですとかそれから今後必要だと思うというような対策、そういったものをアンケート調査で選択式で聞いておりますけれども、それに基づいてですね、それを深掘りするといいますか、委員長そのヒアリング調査というところであの対面でやはり結構やはり被害が集中してる、そういう部署が集中してるっていうところも、あの見て取れましたのでそうした上位のところから選ぶとそれからまた併せてですね、やっぱり窓口を委託していたりですとか、あとは公共施設を指定管理者、施設でということで指定管理者の方が担っているというところもありますので、そういったところもピックアップして、そこがサービスの最前線に立っているというところもございますので、そこも含めて対面でヒアリングをしてこちらの方は、被害が多い部署の職員の38名来ていただいて、そこでヒアリングしたとそれからの委託事業者の方もピックアップして、委託業者の方が21名そういった具体的な内容ですね。
文字だけが出てこないようなそういった背景ですとか、具体的にこういうことあったっていうふうにあの答えていますけれども、その後、そのどうでしたかとかどういう状況でしたかっていうような具体的なところをちょっと深掘りして聞いたというところでございます。
以上でございます。
竹内Gはい。
ありがとうございます。
丁寧な聴取のもとで、こうした一旦の結果が出ているという部分かと思います。
やはり、こういう部分すごく今過熱していろんな報道でも報じられるような部分もあります。
他社あるとき公的な機関に電話をしてしたら、あれですね。
何て言うんでしょう。
音声ガイダンスに従ってというふうになってます人材不足という部分でも今音声ガイダンスになっているところも多いのかなと思っておりますがやはり一定の抑止力も中にはあるのかなと考えるところもありました。
こういう部分やはり関係各社で認識をしながら、人として必要なことをしっかりと話をしていかれることを問題の解決をしていくことという。
のが大切であろうかなと思っております。
なかなか相談に来る方も糸を組む。
のが難しい窓口の対応なんかは特にあるかと思います。
また、少し精神的にダメージがある方なんかもお話をするのってすごく難しいと思っていますのでいろいろこれはあくまでも防止方針の策定という。
部分ではありますが、そうした本当の意見が抽出していかれるように、また一生懸命現場で取り組みをしていただいている職員の方々も、気持ちを損なうことがないような、体制作りというものをしっかりと取り組んでいただけたらと思っております。
はい。
以上です。
終わります。
ありがとうございました。
続いて、の発言を願います。",2025/11/06,企画総務
魚住委員,"はい、よろしくお願いいたします私は資料2と6についてお伺いをいたします。
まず資料2についてです。
こちらの過去の委員会において報告いただいた今後の抱負のプロモーションの三つの方向性というところについて、さらに強力に推し進めていくための体制整備というふうに理解をしております。
この手段というところで、保護という形で、専門知識および経験を有する方を職員として招くということについては、この4課は行政の一般的なスキルとは山ほどなるという点から見ても合理的なものかというふうに考えております。
一方気になったところとしては今年度の新たな取り組みであるところの広報力向上事業との関係性というところです。
こちらの事業では専門知識を有する副業人材を活用し職員向けの研修およびモデル部署の伴走支援を実施といった記載がありまして、今年度に既に諸々取り組んでいただいているところだと思います。
この事業として副業人材の活用ということでしたので、これは要はお試しとして実施をされて、それでもしある程度活用のめどが立ったということで今回の採用というところには至ったのかもしくはその、それはそれこれはこれという形でさらにその体制の強化という形での今回の運用に当たったのかというところについて、まず確認ができればと思います。
お願いします。
委員長　シティプロモーション推進課長シティプロモーション推進課長はい今のご質問でございますけれども、今委員ご指摘ありました通りポーカーの方でですね全職員の方力向上ということで副業人材を活用した方たちでですね、取り組みを進めているところでございます。
今回任期付職員ということでシティプロモーションを処分するという職員に職員を約人をするという中でですねやはり組織プロモーションっていう分野においてもですね、やはりこうした意識の向上であるとか、デザイン力プロモーション力の向上といったところが重要になってまいりますので、今回募集をいたします任期付職員につきましてはシティプロモーションにかかる部分について、こうしたデザイン力の紋章力の向上について担っていくというような形で考えてございます。
一方で他の方のこの取り組みですけれどもこちらについては引き続き副業人材を活用しながら進めていくものでございます。
しかし、ながらこのシティプロモーションとですね、あの交換の取り組みというのはかなり関係性がですね、あの三つなものだというふうに認識してございますので、両課でですね相互に連携をとりながらですね、業務を進めていきたいというふうに考えてございます。
以上でございます。
お済みはいありがとうございますまず今年度実施の広報力向上事業とはまた別途別の視点ということで、理解をいたしました。
そうですね働き方でて、働き方という点でも、副業という形であるのか本業という形であるのかそれぞれ目線というところも変わってくるのではないかというふうに思ってますので先ほどおっしゃっていただいたように相乗効果というところについてもぜひ期待しているところでございます。
もう一点確認をしたいのか台風面のところです。
優秀な人材に来ていただくためにはもちろん相応の待遇というところが不可欠ではないかというふうに考えているところです。
任期付といいましても、公務員という立場であることを踏まえますと給与水準には一定の制約があるのではないかというふうに思われ思いますけどもこの点について国の制度でいうと、特定任期付職員というのは概念も最近出てきて、一般の急所をそのまま使うのではなくて別のものが用意されるようなケースもあるというふうに聞いております。
同様の特例に関する条例は東京都の方でもちょっと確認をしたところです。
これらの意図としては、その必要とされる人材に関して専門的知識ですとか経験ですとか有しているよりその高度な人材をできる限り採用するというところの思いがあるのかというふうに考えているところです。
そもそものところで今回のその他の候補という形でですね採用されている人材について、これらに該当するのかというところはありますけども今回の採用というところに当たってこれの待遇面についてどういう形になるのかというところについてお伺いできればと思います。
よろしくお願いします。
委員長。",2025/11/06,企画総務
職員課長課長,"はい。
まず今回の任期付職員の待遇面というところでございますけども、基本的には通常の管理職の職員と同一の給料表の適用になりまして初任給の計算等につきましても、これまでの民間での経験等を踏まえて、またこれまで中央区の管理職職員として働いてきている職員との比較そうしたところをしながら、バランスを取りつつ決定をするというところで、区の管理職の職員とほぼ同じ待遇というところになってございます。
委員がおっしゃっていただいている特定任期付職員というところで特別区の方でも令和7年の4月から導入が可能ということになりまして一部の自治体ではもう既に条例改正をしてそういう特定任期付職員の募集というところをやっている自治体もあるというふうに聞いております。
本部の方でございますけれども、今のやっている一般任期付職員の制度がしっかりとうまく活用できておりまして、人材育成とかそういったところも踏まえた任期付職員の活用というのができておりますので現時点では特定任期付職員の活用というのは考えておりません。
ちなみに特定任期付職員というのがどういうものなのかというところでございますけれども人材育成という観点というよりもそういう部分ではなく、本当にいわゆる弁護士の資格が必要だとか、公認会計士の資格が必要だとか。
他の自治体の状況を見ますと、例えば児童ホーム準備担当副参事ということで、児童相談所の開設にあたって、そうした専門ホームを担当する弁護士の資格を持った職員を募集するとか、そういうあの人材育成という観点ではなく、5年間しっかりとその専門的な本当に高度な知識を使って職務に当たるという職員の募集という状況でございます。
今回一般任期付の職員で実際運用させていただいてるという状況でございます。
以上でございます。
ありがとうございます今回の件については通常の管理職として経歴ですとか、勤続年数ですとかには応じて算定されるということが特定と理解をいたしました。
それと特定任期付職員についてはいろいろ詳しくありがとうございます元々の考え方としてその弁護士などよりその専門性が高い職種ということで、前提としては特別区の中で、4月からの導入可能という状況。
ただ、し僕としてはまだこれからというところで理解いたしました。
そうですね今回の件はさておきましてその任期付職員という形で今回受けたまた異なりますけども寄り添う高度な人材を民間の方から受け入れるということについては今後増えていくことかなというふうに思いますので国ですとか東京都ですとか、あとはその他の特別区に関してもですね、より一層退部可能性とするような条件整備、条例整備だみたいなところについても今後検討をぜひいただけたらというふうに思っております。
最後もう一点この場合の質問、募集に関して、募集要項に関してですねちょっと細かい点なんですけれどもお伺いできればと思っております。
先ほど申し変わった通り、その過去の経歴ですとかその勤続年数ですとかそういったところによってその最終的なその会議っていうところについては、戻るというところだったかと思いますけどもそうすると要するに人それぞれあの金額というのは変わってくるのかなというふうに思ってましてそうすると今回のこの職種を応募しようという段階においてですね、自分がどれぐらいの待遇なんだっていうところに関して、なかなかちょっとぱっと見わかりにくいんじゃないかっていうところもあるかと思うんですけども、そこはその募集要項等に何か何らかのその例示みたいな形で出されるのかどうかというところについて確認できればと思いますお願いします。
委員長。",2025/11/06,企画総務
