ID,会議の名称,発言者,人分類,発言内容,年度,年月日,委員会/本会議名称,議事関係
,令和7年 区民文教委員会(7月23日),木村委員長,木村克一,"ただいまより区民文教委員会を開会いたします。

まず初めに、理事者報告を願います。",,2025/7/23,区民文教委員会,議長/委員長
,令和7年 区民文教委員会(7月23日),木村委員長,木村克一,"発言の時間制についてでございます。発言の持ち時間制につきましては、既に御承知のとおりですので、よろしくお願い申し上げます。ただいまの時刻は午前10時３分でございます。自由民主党さん28分、かがやき中央さん19分、立憲民主党・無所属さん19分、区民クラブさん19分、日本共産党さん19分、士魂の会さん10分となります。なお、持ち時間には、この後の議題である請願審査の時間も含まれます。

それでは、理事者報告に対する質疑に入ります。

発言を願います。",,2025/7/23,区民文教委員会,議長/委員長
,令和7年 区民文教委員会(7月23日),押田委員,押田まり子,"おはようございます。

１点だけ、質問というか、希望も兼ねて質問させていただきたいんですが、不登校のことをずっと私はいろいろな観点で聞いてまいりましたので、細かく報告を受けている。また、どのように対応されているかというのは、いつも御報告を受けて大変よく分かっているんです。ただ、この御報告の中で、その子たちがどのように直っていったかとか、多少こういうことが出てきたんだよというような御報告を受けることがなくて、そういう意味での御報告をいただくと、私たちもいろいろな判断材料になるかなと思っているので、その点はいかがでしょうか、伺わせていただきます。",,2025/7/23,区民文教委員会,議員
,令和7年 区民文教委員会(7月23日),村上教育センター所長,押田まり子,"不登校のお子さんのその後ということでございます。

直近の状況でいいますと、別室指導が開始されたことで、例えば、昨年度までほとんど学校に来られていなかったお子さんが別室に少し顔を出せるようになったというような報告は受けておりまして、やはり別室の効果は大きいのかなと思っています。また、不登校になっているお子さんは教育相談にも係っていらっしゃるお子さんがいますので、そこにいらっしゃる保護者の方との面談でお話を伺いますと、中学校までは不登校であったけれども、高等学校に行って、定時制であったりとか、今、いろいろ多様化している部分がありまして、それで一生懸命、小・中学校で関わっていただいて声をかけていただいたおかげで、そういったところに出ていけるようにはなりましたというようなお話を伺ってはおります。ただ、全員の追跡という部分までは若干できておりませんけれども、そういった視点で、お子さんの状況を見ていくという部分は大事かなと思っておりますが、いろいろな施策の中で子供たちが少しずつ、いろいろな居場所があることによって選択できるようにはなってきているかなというふうには感じております。

以上でございます。",,2025/7/23,区民文教委員会,理事者
,令和7年 区民文教委員会(7月23日),押田委員,押田まり子,"ありがとうございます。不登校といっても、本当にいろいろな形があると思うんです。勉強はしたいし、人見知りではないけれども人中に行くのが嫌だとか、勉強も嫌だとか、そういう様々、今おっしゃったような形で教室を別にするとか、とても大事だと。

もう一つ伺いたかったのは、答えていただいたんですが、義務教育までは不登校でいいんですが、高校に行ってしまったときに教育委員会から離れるけれども、お子さんたちはどのようになっているのか伺おうと思ったら、多岐にわたるいろいろな、定時制とかでよくなっているというお話を伺って、ほっとしたんです。やはり高校になってきても、前も申し上げたんですけれども、高校生も中央区の子供さんなので、いい方向にいっていただきたいというふうに思います。ですから、今のようなお話をこれから先も、不登校の数や何かと同時に御報告をいただけるようにお願い申し上げまして終わります。ありがとうございました。",,2025/7/23,区民文教委員会,議員
,令和7年 区民文教委員会(7月23日),小坂委員,小坂和輝,"では、よろしくお願い申し上げます。

大変重要なテーマだと考えております。また、中央区は不登校の取組も一生懸命しっかりとしていただいていると思っております。別室を広げていったり、これは中学校からまた小学校へと、また小学校のほうも月島地域から日本橋、京橋へと別室を広げていくという方向性を前回の一般質問でも確認させていただいたところです。取組の成果といたしまして、中学校におきましても、全国平均では不登校出現率が5.98％のところ、中央区は8.21％と高かったのが、徐々に、令和５年度6.80％、そして令和６年度は6.19％ということで、全国平均の上だったところが下のほうへと成果が見えているようにも考えます。また、小学校のほうも、東京都平均、全国平均からも低い値を保っているというところでの取組に感謝申し上げるところであります。

質問といたしましては、まず、このような調査におきましては、これは先生による評価ということで今まではなされてきたところのまとめかとは思いますが、私も現場でも不登校の子に接して、この統計の結果とやや違うような感じも受けておりました。すなわち、このような統計に本人や保護者の考え方をどれだけ反映できているか。先生だけの見立てではなく、本人や保護者の意見、考え方も反映することが大事かと考えますけれども、このあたりの取組に関して教えてください。これが１点目です。

２点目は、前回の一般質問でもいたしたところでありますけれども、教育の点検・評価報告書の一つの評価指標ともなっております不登校児童・生徒で、関係機関とつながっていない者の実数というところが重要と私は思っております。今回の報告におきましては、３ページ目の（２）にありますけれども、小学校で102人の不登校児童・生徒がいる中で、関係機関と連携しているのは68人、すなわち、逆に言うと34人が連携できていない。中学校では113人中、連携できているのが80人、逆に言うと33人が連携できていないということで、総計で215人の不登校中、関係機関と連携できていない子は67人いる。31.2％というふうになっております。この方々の特性まで評価しながらアプローチの仕方を考えていけばよいのではないかと考えるところであります。例えば、文科省委託事業でなされた不登校の要因分析に関する調査研究報告書が令和６年３月に公表されております。公益社団法⼈⼦どもの発達科学研究所の報告結果ですが、関係機関と連携できていない方々には特性があるという報告もなされております。中央区では、関係機関とつながっていない方々の特性なり、何か特徴的なものを把握されていたら教えてください。これが２点目です。

３点目は、不登校になったきっかけと考えられる状況におきまして、本人に係る状況で不安とか鬱という部分が小学校で40件、中学校で48件と高くなっている状況があります。例えば、不安、鬱の部分は、医師に医学的なところから診断がつけられた場合は、ここの数から引かれることになるのか。すなわち、長期欠席者としての病気というふうに判断して、ここの数からは引かれて長期欠席のほうの病気に入るのか。今回、この統計には入っておりませんけれども、病気で長期欠席の子は小学校で152人、中学校で44人という形で、長期欠席の子は、不登校の子以外に、病気で欠席されている子はそれらの数もおられるわけなので、病気と診断することや不登校として診断すること、要は、どのような状況においても、その子の学びが続けられるということが大事であり、その子の診断が大事とかいうわけではないですけれども、それらの病気の場合の考え方なり、不登校と同じようなアプローチもできているかどうかを含め、お答えいただければと思います。",,2025/7/23,区民文教委員会,議員
,令和7年 区民文教委員会(7月23日),村上教育センター所長,小坂和輝,"３点お答えさせていただきます。

本人や保護者の意思が反映されているかという部分でございますが、今年度の調査から、そのあたりの調査の仕方が少し変わっております。昨年度までは教師の見立てで不登校の要因を１つ選ぶ形から、今年度の調査からは、より実態に沿うようにということで、学校の見立てだけではなくて、保護者、また本人にも少しヒアリングをしながら、当てはまるであろう要因を複数選ぶ形に変わりました。本区におきましても、このような形で間違いなく調査が行われておりますし、こういった形で複数回答という形で選んでいる状況になりますので、１点目に関しては、意思が反映されているとお答えさせていただきます。

２点目、関係機関とつながっている部分でございますが、これは一般質問でも教育長からお答えさせていただいておりますけれども、必ずしも外部の機関とつながっていることがいいのかどうかという部分がございます。やはりいろいろなお子さんがおります。精神的につらいお子さんもいれば、外に出るのもちょっとという方がいますので、何かつながらないと駄目だぞというわけではございません。ですので、まず、お子さん一人一人の状況に応じて声かけをさせていただいたり、家庭訪問させていただいたり、時にはオンラインで対応させていただいているところでございます。

そういった中で、特性があるか否かという部分ですが、最近、お子さんの様子を見てみますと、例えばですけれども、特別支援の必要なお子さんが不登校になる傾向がある状況もありますし、やはり家庭での環境、学校の勉強になかなかついていけない等々あります。そういった部分で、こういったお子さんが不登校になりやすいですというようなはっきりとした特性を申し上げることはできませんけれども、やはりいろいろな要因が重なって不登校になっているというのが正直なところです。そういったお子さんに関しても、冒頭申し上げましたように、必ず担任だったり、状況によってはスクールソーシャルワーカーであったり、メンタルサポーターが訪問させていただいたりしながら、子供たちとつながっている。それは間違いありません。ただ、学校にですとか、家を一歩出るというところまではなかなかまだ難しいというお子さんはおりますけれども、そういった一人一人のお子さんとも必ずつながりを持っているという部分で、そこをまず大事に、お子さんの状況に合わせてアプローチをしていっているところでございます。

最後の３点目でございますけれども、不安や鬱が高くなっているという部分で、先ほど医師の診断書があると、もちろん医師の診断というのは病気の診断にはなると思うんですが、そういった場合でも、鬱であったり、不安である症状の要因が何なのかによって、例えばそれが精神的な疾患であれば、もちろん病気にカウントいたしますし、そういったことでなければ、こちらの不安、鬱で、診断書が出ていようが、不登校に計上することもありますので、診断書の有無のみによって病気にするかしないかを判断しておりません。不安になっている要因がどこにあるのか、それが不登校の要因なのであれば、こちらにカウントしますし、病気のほうで体調面であったりとかという部分であるならば、病気でカウントをしているところです。

先ほど長期欠席の中で病気が、ある程度人数がいるという話がありました。昨年度も100名ほど小学校の子供たちが病気で長期欠席に入っていますし、中学生も40人程度おります。当然、今お話があった不登校の計上の仕方ですけれども、30日以上欠席が不登校の要因だけで欠席だから不登校ではないんです。30日以上休んでいるお子さんは長期欠席者になります。その中で、不登校の要因で休んでいる日数が多いお子さんは不登校に入りますし、病気でお休みしている日数が一番多いお子さんは病気のほうに入ります。なので、例えば１週間程度は不登校だったけれども、あとは体調不良だったという場合は、当然、病気のほうにカウントされますので、我々としては不登校の数だけを見ていません。病気でお休みしているお子さんも、当然ながら、学校に通えていない期間が長いわけですから、学校の勉強、やはり学びが大事という部分では、例えば病気で休んでいるお子さんもオンラインで授業を受けるというようなことを学校は対応させていただいたりしておりますし、病気でお休みしているお子さんにも、当然ながら、家庭訪問をしたりですとか、連絡をして、時にはスクールソーシャルワーカー、カウンセラーとの面談をしたりとかという心の部分のケアもさせていただいているところでございます。

以上でございます。",,2025/7/23,区民文教委員会,理事者
,令和7年 区民文教委員会(7月23日),小坂委員,小坂和輝,"それぞれに丁寧に御答弁ありがとうございます。

まず、今年度から、より本人や保護者の考えも反映したデータになっているということを理解させていただきました。本人や保護者の考え、意見を聞く、アンケート的に聞くなんて絶対難しいし、そのあたりを、難しさも越えながら、本人の状況をこのデータにも反映していただけるように今後とも御努力をよろしくお願い申し上げます。

２点目の関係機関とつながる、つながらないというところも、非常に難しいケースがつながっていないということが多々ありますので、ここに関しては、なぜ関係機関につながっていただけないのだろうと。先ほど述べた報告書においても、そこが要対協ケースの子であったりとか、また、ひとり親の家庭であったりとか、様々複雑なものがさらに入っている可能性もありますので、関係機関につながれていない方々の状況をさらに分析して、学校だけの御負担ではなく、多機関が一緒になって考えるという体制をさらに構築していただけますようにお願い申し上げます。

最後の部分は、長期欠席のところを非常に丁寧に分類しているという状況も理解いたしましたが、いずれにしろ、病気であれ、不登校であれ、その子らしい学びができることを今後ともよろしくお願い申し上げます。

ここでの質問は終わります。",,2025/7/23,区民文教委員会,議員
,令和7年 区民文教委員会(7月23日),永井委員,永井佳代,"よろしくお願いいたします。

資料を拝見し、本区の不登校児童・生徒の人数は若干の減少は見られるものの、一定数の子供たちが学校に行きづらい状況にあり、その背景には多様な要因があることが分かりました。そうした中で、適応教室わくわく21や校内別室、さらには家庭訪問支援といった仕組みは、子供たちを支える上で非常に重要な土台であると感じています。それらの現状や課題について、本日は時間があまりありませんので、時間の許す限り、順に確認させていただきます。

まず、適応教室や校内別室を利用した場合、その登校はどのように扱われるのか改めて確認させていただきます。適応教室や校内別室を利用した場合、出席扱いとして認められると認識しておりますが、本区としての基準をお示しください。また、こうした利用期間中の学習評価はどのように行われ、通知表などにどのように反映されているのか具体的にお聞かせください。まず、この点をお願いいたします。",,2025/7/23,区民文教委員会,議員
,令和7年 区民文教委員会(7月23日),村上教育センター所長,永井佳代,"まずは、登校の出席扱いについてでございます。

適応教室、フリースクール等々、例えば適応教室で述べさせていただきますと、適応教室に通っているお子さんについては、月ごとにお子さんが何時に通室をして何時に退出をしたかという状況とともに、どのような学習をしたのかということの報告を各学校の学校長宛てに送らせていただいております。同様にフリースクールも、学校長と連携しながら、そういった対応をさせていただいているというふうに聞いております。それを受けて学校のほうで、最終的には校長の判断で、出席扱いをするか否かはあくまでも校長判断、ただ、教育委員会としては出席扱いを認めてあげられるような形でやりましょうねという話はしていますが、最終的には校長が判断するという部分でございます。

評価の部分についてでございますが、先ほど述べましたように、このような学習をしていますよという報告書を学校に上げるとともに、例えば学校のほうから、定期テストを学校では受けられないので、適応教室で受けられないだろうかということで、適応教室で受ける場合もありますし、例えば美術科とか技術科とかで、作品を適応教室等で作成し提出するなどで評価をしているというふうにも聞いております。そういった形で、学校外で行ったもの、もちろん別室は学校に登校していますので出席扱いにもなりますし、評価ももちろんやっているんですが、そういった形でできる限り子供たちの学びを評価するようにという形でやっております。

以上でございます。",,2025/7/23,区民文教委員会,理事者
,令和7年 区民文教委員会(7月23日),永井委員,永井佳代,"詳しく御答弁いただき、ありがとうございます。出席や成績評価の考え方を確認させていただき、非常に柔軟に対応していただいていることが分かりました。ありがとうございます。

では、次に、学習支援の体制についてお伺いいたします。適応教室と校内別室の利用状況について、令和６年度の利用者数、利用率をお示しください。

あわせて、適応教室における学習支援体制についてお伺いいたします。現在、学習指導はどのような形で行われているのか。例えば、指導のこま数や子供１人当たりが週にどれくらい、どの程度指導を受けられているのか、その実態について教えていただけますでしょうか。お願いいたします。",,2025/7/23,区民文教委員会,議員
,令和7年 区民文教委員会(7月23日),村上教育センター所長,永井佳代,"まずは、別室指導の部分についてでございますが、こちらは学校によって、昨年度、令和６年度は中学校４校で１年間行いました。平均の人数で申しますと、１日に大体３人から５人程度が利用しております。なので、多い日には２桁の利用もあれば、少ない日には１人いるかいないかというときもあるというふうに報告は受けているところです。適応教室につきましては、令和６年度は全部で55名の登録、利用者数がありました。ちなみに、今年度については、６月末時点で30名という形になっております。

その中で、今、学習支援というふうにありましたけれども、適応教室には、やはり学習をどうしようかと困っていらっしゃる方がかなりいらっしゃる関係もありまして、令和５年度から、個別の指導ということで、民間の事業者にお願いをして一対一の個別学習をスタートさせました。６年度は20のこまを用意させていただきましたが、やはりかなりニーズが高いということもありましたので、今年度から25こまに、１日５こまの週５日という形で、国語であったり、英語であったり、利用者は自分が勉強したい内容を選択し、できるように、これは小・中学生ともにです。こちらについては、多いお子さんで大体２こま分利用しているお子さんはいらっしゃるかなと思います。そういった形で、学習に不安を覚えている、学校に復帰するに当たっては、そういう支援も必要であろうということで対応させていただいているところでございます。別室においては、支援員が学習を見ている。教員免許を持っている教員ではありませんので、指導するという形ではありませんが、お子さんが別室で行っている授業で、例えばオンラインで授業を受けたりもしますし、課題を解くときもありますので、そういったところでアドバイス、サポートに入っている。そういった体制で学習の支援に当たっているところでございます。

以上です。",,2025/7/23,区民文教委員会,理事者
,令和7年 区民文教委員会(7月23日),永井委員,永井佳代,"ありがとうございます。

令和７年度は週に25こまの個別指導学習を用意していただいているということを確認いたしましたが、子供１人当たり、週にどれくらい指導を受けられているのか教えていただけますでしょうか。",,2025/7/23,区民文教委員会,議員
,令和7年 区民文教委員会(7月23日),村上教育センター所長,永井佳代,"先ほど述べましたように、今、10人ぐらいのお子さんが利用しておりまして、一番多いお子さんで週に２こまの利用をしています。

以上です。",,2025/7/23,区民文教委員会,理事者
,令和7年 区民文教委員会(7月23日),永井委員,永井佳代,"ありがとうございます。週に２こまの利用とのことで確認いたしました。

仮に、こま数や指導の時間に制約があるという場合は、子供の学びを止めないために何か工夫が必要なのではないかという視点で次の質問をさせていただきます。もし限られたこま数の中で１人当たりの学習支援が十分に確保できない状況があるとすれば、それは子供たちにとって、学びを続けるということでは課題ではないかと思っております。この点について本区としてどのように捉え、今後どのような改善を検討されているのかお伺いできますでしょうか。例えば、外部講師の増員に加えて、現在行っているメンタルサポーターやスクールソーシャルワーカーなどの訪問支援の中で、大学生を主とするメンタルサポーターが、状況に応じて学習指導を取り入れることは可能であるのか、こちらの件も併せて御見解をお聞かせください。お願いいたします。",,2025/7/23,区民文教委員会,議員
,令和7年 区民文教委員会(7月23日),村上教育センター所長,永井佳代,"学習支援の部分でございますが、５こまを拡大することによって、今年度については、現時点で、例えば、受けたいんだけれども、受けられないという状況には、今のところはまだ至っておりません。ただ、やはりニーズが多いのは間違いありませんので、今後としては、学習支援のこま数を増やすのか、もしくは同時に２人に学習支援ができるような人員を配置するであるとか、そういったあたりはまだこれから余地はあるかなと考えております。先ほどお話のありましたメンタルサポーター等々、家庭訪問する支援員が指導に当たるかどうかについては、特に、教員免許を持っていたり、資格があるわけではありませんので、すぐにその方がということはできませんが、今、メンタルサポーターが家庭訪問をして一緒に学校に登校して、教室には入れないので、例えば相談室でお話をする時間があります。そういったところで勉強をやっている時間に横でサポートするということは今も実際に行っておりますので、そういった形で学校に足を運んで、学校の場でお話をする中で少し勉強を見るということはこれまでもやっておりますので、そのあたりをどのように捉えて拡大していくかという部分であったり、こういった活用もありますよという部分を少しアナウンスしたりということはできるのかなと思っているところです。ですので、何か新たに家庭訪問する方が学習支援という部分は、今の現時点ではまだ考えておりません。

以上でございます。",,2025/7/23,区民文教委員会,理事者
,令和7年 区民文教委員会(7月23日),永井委員,永井佳代,"ありがとうございました。

先ほど私が質問した内容は、現状の課題ではないということを理解いたしました。そして、さらに、今後ニーズの拡大に関しては、例えばマン・ツー・マン指導を一対二指導に変えるなど、もしくはこま数を増やすなど、今後支援の拡大も考えていただいていることを理解いたしました。よろしくお願いいたします。

また、学習支援の体制強化と併せて、子供がここなら安心できると感じられる居場所づくりも大切だと思っております。本区には、校外の適応教室わくわく21、校内別室、そして訪問支援という３つの仕組みがあります。既に、適応教室では、学習支援に加え、体験学活動や交流の機会を取り入れていただいていると承知しておりますが、こうした取組をどのようにさらに充実させ、この３つの仕組みを全体で有機的につなげていくのかが重要だと考えております。子供たちが段階的にステップアップできるように、本区として今後どのような方向性を描いているのか御見解をお聞かせください。お願いいたします。",,2025/7/23,区民文教委員会,議員
