ID,会議の名称,発言者,人分類,発言内容,年度,年月日,委員会/本会議名称,議事関係
,令和7年　決算特別委員会(第1日　9月25日),原田議長,原田賢一,"ただいまより、決算特別委員会を開会いたします。

本日、議会局長は欠席します。

委員長選任について、いかが取り計らいましょうか。

議長一任とのことでありますので、私より御指名いたします。

委員長には、礒野忠委員を御指名いたします。礒野委員は委員長席にお着きいただくとともに、就任の挨拶をお願いいたします。",2025,2025/09/25,決算特別委員会,議長/委員長
,令和7年　決算特別委員会(第1日　9月25日),礒野委員長,磯野忠,"（挨拶）

副委員長選任について、いかが取り計らいましょうか。",2025,2025/09/25,決算特別委員会,議長/委員長
,令和7年　決算特別委員会(第1日　9月25日),礒野委員長,磯野忠,委員長一任の声が先にありましたので、委員長一任についてお諮りいたします。委員長一任について、賛成の方は御起立願います。,2025,2025/09/25,決算特別委員会,議長/委員長
,令和7年　決算特別委員会(第1日　9月25日),礒野委員長,磯野忠,"起立多数と認めます。――御着席願います。

よって、委員長一任とするものと決定いたしました。

それでは委員長一任ということでありますので、私よりご指名いたします。

副委員長には、田中広一委員を御指名いたします。田中委員は副委員長席にお着きいただくとともに、就任の挨拶をお願いいたします。",2025,2025/09/25,決算特別委員会,議長/委員長
,令和7年　決算特別委員会(第1日　9月25日),田中(広)副委員長,田中広一,（挨拶）,2025,2025/09/25,決算特別委員会,議長/委員長
,令和7年　決算特別委員会(第1日　9月25日),礒野委員長,磯野忠,"進行役の選出について、当委員会の進行役を、海老原崇智委員にお願いいたしますので御了承願います。

次回の決算特別委員会開会日時について、本日のところはこの程度とし、決算の審査は来る９月29日午前10時30分より開会することといたしますので、御承知おき願います。

なお、９月29日は開会に先立ちまして、午前９時30分より10階会議室にて打合せを行いますので、各会派より１名、代表者の御出席をお願いいたします。

また、当日は、区議会だより用として写真撮影を行いますので、御了承願います。

なお、写真撮影時は、クールビズ期間中でありますが、上着、ネクタイの着用及び記章のはい用をお願いいたします。

それでは、散会とさせていただきます。

（午後２時20分　散会）",2025,2025/09/25,決算特別委員会,議長/委員長
,令和7年　決算特別委員会(第2日　9月29日),礒野委員長,磯野忠,"おはようございます。ただいまより決算特別委員会を開会いたします。よろしくお願いいたします。

私より一言挨拶を申し上げます。

（挨拶）

次に、議長より挨拶をお願いいたします。",2025,2025/09/29,決算特別委員会,議長/委員長
,令和7年　決算特別委員会(第2日　9月29日),原田議長,原田賢一,（挨拶）,2025,2025/09/29,決算特別委員会,議長/委員長
,令和7年　決算特別委員会(第2日　9月29日),礒野委員長,磯野忠,次に、区長より御挨拶をお願いいたします。,2025,2025/09/29,決算特別委員会,議長/委員長
,令和7年　決算特別委員会(第2日　9月29日),礒野委員長,磯野忠,本特別委員会に付託を受けました議案の審査方法については、いかがいたしましょうか。,2025,2025/09/29,決算特別委員会,議長/委員長
